id,title,link,published,source
39,Owner of Simi Valley Ford appointed Chamber board chairman - Simi Valley Acorn,https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LnNpbWl2YWxsZXlhY29ybi5jb20vYXJ0aWNsZXMvb3duZXItb2Ytc2ltaS12YWxsZXktZm9yZC1hcHBvaW50ZWQtY2hhbWJlci1ib2FyZC1jaGFpcm1hbi_SAQA?oc=5,2009-01-09 08:00:00,Simi Valley Acorn
41,Melbourne brothers killed in NZ glacier crush 'lovely boys' - Sydney Morning Herald,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LnNtaC5jb20uYXUvbmF0aW9uYWwvbWVsYm91cm5lLWJyb3RoZXJzLWtpbGxlZC1pbi1uei1nbGFjaWVyLWNydXNoLWxvdmVseS1ib3lzLTIwMDkwMTA5LTdkZnguaHRtbNIBbGh0dHBzOi8vYW1wLnNtaC5jb20uYXUvbmF0aW9uYWwvbWVsYm91cm5lLWJyb3RoZXJzLWtpbGxlZC1pbi1uei1nbGFjaWVyLWNydXNoLWxvdmVseS1ib3lzLTIwMDkwMTA5LTdkZnguaHRtbA?oc=5,2009-01-09 08:00:00,Sydney Morning Herald
52,Local man lives his dream: flying planes for a living - Times Herald-Record,https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3LnJlY29yZG9ubGluZS5jb20vc3RvcnkvYnVzaW5lc3MvMjAwOS8wMS8xMS9sb2NhbC1tYW4tbGl2ZXMtaGlzLWRyZWFtLzUyMDM0MTQyMDA3L9IBAA?oc=5,2009-01-11 08:00:00,Times Herald-Record
58,Ethiopian Airlines Explains Recent Emergency Landing in Malta at Tadias Magazine - Tadias Magazine,https://news.google.com/rss/articles/CBMiX2h0dHA6Ly93d3cudGFkaWFzLmNvbS8wMS8xMy8yMDA5L2V0aGlvcGlhbi1haXJsaW5lcy1leHBsYWlucy1yZWNlbnQtZW1lcmdlbmN5LWxhbmRpbmctaW4tbWFsdGEv0gEA?oc=5,2009-01-13 08:00:00,Tadias Magazine
64,17 airlines that no longer exist - CNN,https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vd3d3LmNubi5jb20vdHJhdmVsL2FydGljbGUvZm9ybWVyLWFpcmxpbmVzL2luZGV4Lmh0bWzSAQA?oc=5,2009-01-15 08:00:00,CNN
66,"Robert Whittier Obituary (2009) - Salt Lake City, UT - The Salt Lake Tribune - Legacy.com",https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vd3d3LmxlZ2FjeS5jb20vdXMvb2JpdHVhcmllcy9zYWx0bGFrZXRyaWJ1bmUvbmFtZS9yb2JlcnQtd2hpdHRpZXItb2JpdHVhcnk_aWQ9Mjg2MTg2MDPSAQA?oc=5,2009-01-15 08:00:00,Legacy.com
67,The Beast news - Enter The Beast - 2009 - Top Gear,https://news.google.com/rss/articles/CBMiPGh0dHBzOi8vd3d3LnRvcGdlYXIuY29tL2Nhci1uZXdzL2JlYXN0LW5ld3MtZW50ZXItYmVhc3QtMjAwOdIBAA?oc=5,2009-01-15 08:00:00,Top Gear
74,"Lithuania's main airline, FlyLAL, to cease operations | News | Flight Global - Flightglobal",https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3LmZsaWdodGdsb2JhbC5jb20vbGl0aHVhbmlhcy1tYWluLWFpcmxpbmUtZmx5bGFsLXRvLWNlYXNlLW9wZXJhdGlvbnMvODQ2ODguYXJ0aWNsZdIBAA?oc=5,2009-01-16 08:00:00,Flightglobal
76,Modern blacksmiths reconnect with past - Dickinson Press,https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3LnRoZWRpY2tpbnNvbnByZXNzLmNvbS9uZXdzL21vZGVybi1ibGFja3NtaXRocy1yZWNvbm5lY3Qtd2l0aC1wYXN00gEA?oc=5,2009-01-17 08:00:00,Dickinson Press
78,Ethiopian Airlines jet ditching in 1996 yielded survival lessons for NYC crash at Tadias Magazine - Tadias Magazine,https://news.google.com/rss/articles/CBMicGh0dHA6Ly93d3cudGFkaWFzLmNvbS8wMS8xNy8yMDA5L2V0aGlvcGlhbi1haXJsaW5lcy1qZXQtZGl0Y2hpbmctaW4tMTk5Ni15aWVsZGVkLXN1cnZpdmFsLWxlc3NvbnMtZm9yLW55Yy1jcmFzaC_SAQA?oc=5,2009-01-17 08:00:00,Tadias Magazine
80,"Grounded jet is transformed into stylish lodging - and it's close to the airport, too - Cape Cod Times",https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LmNhcGVjb2R0aW1lcy5jb20vc3RvcnkvbGlmZXN0eWxlLzIwMDkvMDEvMTgvZ3JvdW5kZWQtamV0LWlzLXRyYW5zZm9ybWVkLWludG8vNTIxMjg5ODgwMDcv0gEA?oc=5,2009-01-18 08:00:00,Cape Cod Times
81,Ethiopian Airlines Jet Malta incident: The anti-climax of an emergency landing at Tadias Magazine - Tadias Magazine,https://news.google.com/rss/articles/CBMib2h0dHA6Ly93d3cudGFkaWFzLmNvbS8wMS8xOC8yMDA5L2V0aGlvcGlhbi1haXJsaW5lcy1qZXQtbWFsdGEtaW5jaWRlbnQtdGhlLWFudGktY2xpbWF4LW9mLWFuLWVtZXJnZW5jeS1sYW5kaW5nL9IBAA?oc=5,2009-01-18 08:00:00,Tadias Magazine
85,"It's a plane. It's a hostel. No, it's Jumbo Hostel - Savannah Morning News",https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vd3d3LnNhdmFubmFobm93LmNvbS9zdG9yeS9uZXdzLzIwMDkvMDEvMTgvaXQtcy1wbGFuZS1pdC1zLzEzNzQ4MDczMDA3L9IBAA?oc=5,2009-01-18 08:00:00,Savannah Morning News
92,Emotional service held for four Air NZ crash victims - Otago Daily Times,https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3Lm9kdC5jby5uei9uZXdzL25hdGlvbmFsL2Vtb3Rpb25hbC1zZXJ2aWNlLWhlbGQtZm91ci1haXItbnotY3Jhc2gtdmljdGltc9IBAA?oc=5,2009-01-21 08:00:00,Otago Daily Times
90,'Morphing' winglets make for greener aircraft - New Scientist,https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3Lm5ld3NjaWVudGlzdC5jb20vYXJ0aWNsZS9tZzIwMTI2OTI2LTEwMC1tb3JwaGluZy13aW5nbGV0cy1tYWtlLWZvci1ncmVlbmVyLWFpcmNyYWZ0L9IBAA?oc=5,2009-01-21 08:00:00,New Scientist
94,"It's a plane. It's a hostel. No, it's Jumbo Hostel - Pittsburgh Post-Gazette",https://news.google.com/rss/articles/CBMiemh0dHBzOi8vd3d3LnBvc3QtZ2F6ZXR0ZS5jb20vbGlmZS90cmF2ZWwvMjAwOS8wMS8yMi9JdC1zLWEtcGxhbmUtSXQtcy1hLWhvc3RlbC1Oby1pdC1zLUp1bWJvLUhvc3RlbC0xL3N0b3JpZXMvMjAwOTAxMjIwMzE10gEA?oc=5,2009-01-22 08:00:00,Pittsburgh Post-Gazette
